subject,bias,absolute,group,group_c,time,time_c,hand,hand_c,degree
3,"1,5","1,5",control,"-0,5",post,"0,5",right,"0,5",-26
3,"-10,5","10,5",control,"-0,5",post,"0,5",left,"-0,5",12
4,5,5,disturbance,"0,5",pre,"-0,5",left,"-0,5",-8
4,16,16,disturbance,"0,5",pre,"-0,5",right,"0,5",14
4,"6,5","6,5",disturbance,"0,5",pre,"-0,5",right,"0,5",30
4,-6,6,disturbance,"0,5",pre,"-0,5",left,"-0,5",26
4,"2,5","2,5",disturbance,"0,5",pre,"-0,5",right,"0,5",6
4,6,6,disturbance,"0,5",pre,"-0,5",right,"0,5",-20
4,-5,5,disturbance,"0,5",pre,"-0,5",left,"-0,5",-24
4,7,7,disturbance,"0,5",pre,"-0,5",right,"0,5",-4
4,-2,2,disturbance,"0,5",pre,"-0,5",left,"-0,5",2
4,-2,2,disturbance,"0,5",pre,"-0,5",left,"-0,5",-16
4,1,1,disturbance,"0,5",pre,"-0,5",left,"-0,5",10
4,5,5,disturbance,"0,5",pre,"-0,5",right,"0,5",-28
4,-3,3,disturbance,"0,5",pre,"-0,5",left,"-0,5",18
4,4,4,disturbance,"0,5",pre,"-0,5",right,"0,5",-12
4,1,1,disturbance,"0,5",pre,"-0,5",right,"0,5",22
4,"-2,5","2,5",disturbance,"0,5",pre,"-0,5",right,"0,5",8
4,-5,5,disturbance,"0,5",pre,"-0,5",left,"-0,5",20
4,-2,2,disturbance,"0,5",pre,"-0,5",left,"-0,5",-30
4,-2,2,disturbance,"0,5",pre,"-0,5",left,"-0,5",28
4,2,2,disturbance,"0,5",pre,"-0,5",right,"0,5",-18
4,"5,5","5,5",disturbance,"0,5",pre,"-0,5",right,"0,5",-26
4,-2,2,disturbance,"0,5",pre,"-0,5",left,"-0,5",12
4,-3,3,disturbance,"0,5",pre,"-0,5",left,"-0,5",-14
4,"2,5","2,5",disturbance,"0,5",pre,"-0,5",left,"-0,5",-6
4,"3,5","3,5",disturbance,"0,5",pre,"-0,5",right,"0,5",-2
4,0,0,disturbance,"0,5",pre,"-0,5",right,"0,5",16
4,-6,6,disturbance,"0,5",pre,"-0,5",left,"-0,5",4
4,"-1,5","1,5",disturbance,"0,5",pre,"-0,5",left,"-0,5",-22
4,"5,5","5,5",disturbance,"0,5",pre,"-0,5",right,"0,5",24
4,7,7,disturbance,"0,5",pre,"-0,5",right,"0,5",-10
4,-1,1,disturbance,"0,5",post,"0,5",right,"0,5",26
4,-7,7,disturbance,"0,5",post,"0,5",left,"-0,5",6
4,5,5,disturbance,"0,5",post,"0,5",right,"0,5",-8
4,8,8,disturbance,"0,5",post,"0,5",left,"-0,5",-4
4,-8,8,disturbance,"0,5",post,"0,5",left,"-0,5",14
4,-5,5,disturbance,"0,5",post,"0,5",left,"-0,5",22
4,2,2,disturbance,"0,5",post,"0,5",right,"0,5",2
4,4,4,disturbance,"0,5",post,"0,5",right,"0,5",-24
4,0,0,disturbance,"0,5",post,"0,5",left,"-0,5",-12
4,3,3,disturbance,"0,5",post,"0,5",right,"0,5",18
4,-1,1,disturbance,"0,5",post,"0,5",left,"-0,5",30
4,0,0,disturbance,"0,5",post,"0,5",left,"-0,5",-28
4,1,1,disturbance,"0,5",post,"0,5",left,"-0,5",-20
4,-1,1,disturbance,"0,5",post,"0,5",right,"0,5",10
4,5,5,disturbance,"0,5",post,"0,5",right,"0,5",-16
4,0,0,disturbance,"0,5",post,"0,5",left,"-0,5",-2
4,0,0,disturbance,"0,5",post,"0,5",left,"-0,5",16
4,-1,1,disturbance,"0,5",post,"0,5",left,"-0,5",-26
4,3,3,disturbance,"0,5",post,"0,5",right,"0,5",-14
4,3,3,disturbance,"0,5",post,"0,5",right,"0,5",28
4,-2,2,disturbance,"0,5",post,"0,5",left,"-0,5",-18
